date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:42:58	4430/4430	---M--	200	added ('OK')	text/html	etag:%22114e-506f3c9205bb1%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/howto.html	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip-web/howto.html	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:59	3663/3663	---M--	200	added ('OK')	text/html	etag:%22e4f-506f3c91f6598%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/about.html	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip-web/about.html	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:59	12663/12663	---M--	200	added ('OK')	image/png	etag:%223177-50369735bd467%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/imgs/stip.png	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip-web/imgs/stip.png	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:59	7349/7349	---M--	200	added ('OK')	application/javascript	etag:%221cb5-5036973597ad5%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/js/jquery.panzoom/test/libs/jquery.mousewheel.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip-web/js/jquery.panzoom/test/libs/jquery.mousewheel.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:43:00	36915/36915	---M--	200	added ('OK')	application/javascript	etag:%229033-5036973556bc2%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/js/jquery.panzoom/dist/jquery.panzoom.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip-web/js/jquery.panzoom/dist/jquery.panzoom.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:43:00	273199/273199	---M--	200	added ('OK')	application/javascript	etag:%2242b2f-5036973595f7d%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/js/jquery.panzoom//test/libs/jquery.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip-web/js/jquery.panzoom/test/libs/jquery.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:43:00	20290/20290	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f42-50369735f7a02%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip-web/fonts/glyphicons-halflings-regular.eot	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/css/bootstrap.css)
18:43:00	20290/20290	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f42-50369735f7a02%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip-web/fonts/glyphicons-halflings-regulard41d.eot	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/css/bootstrap.css)
18:43:00	23292/23292	---M--	200	added ('OK')	application/x-font-woff	etag:%225afc-5036973606462%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip-web/fonts/glyphicons-halflings-regular.woff	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/css/bootstrap.css)
18:43:01	41236/41236	---M--	200	added ('OK')	application/x-font-ttf	etag:%22a114-50369736054c2%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip-web/fonts/glyphicons-halflings-regular.ttf	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/css/bootstrap.css)
18:43:01	62850/62850	---M--	200	added ('OK')	image/svg+xml	etag:%22f582-50369735f9942%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip-web/fonts/glyphicons-halflings-regular.svg	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/css/bootstrap.css)
18:43:02	5964320/5964320	---M--	200	added ('OK')	application/javascript	etag:%225b0220-4f2d26d764320%22	https://soft.vub.ac.be/~lphilips/jspdg/lib/web/viz.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/lib/web/viz.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:43:02	760/760	---M--	200	added ('OK')	text/css	etag:%222f8-503697364f45e%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/css/prettify.css	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip-web/css/prettify.css	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/howto.html)
